Date,For,Against
2016-08-05 19,3.0,0.0
2016-08-05 20,16.0,0.0
2016-08-05 21,36.0,0.0
2016-08-05 22,49.0,0.0
2016-08-05 23,54.0,0.0
2016-08-06 00,58.0,0.0
2016-08-06 01,75.0,0.0
2016-08-06 02,108.0,0.0
2016-08-06 03,119.0,0.0
2016-08-06 04,126.0,0.0
2016-08-06 05,132.0,0.0
2016-08-06 06,142.0,0.0
2016-08-06 07,149.0,0.0
2016-08-06 08,149.0,0.0
2016-08-06 09,150.0,0.0
2016-08-06 10,152.0,0.0
2016-08-06 11,166.0,0.0
2016-08-06 12,185.0,0.0
2016-08-06 13,346.0,0.0
2016-08-06 14,472.0,0.0
2016-08-06 15,640.0,0.0
2016-08-06 16,772.0,0.0
2016-08-06 17,927.0,0.0
2016-08-06 18,1099.0,0.0
2016-08-06 19,1275.0,0.0
2016-08-06 20,1363.0,0.0
2016-08-06 21,1493.0,0.0
2016-08-06 22,1558.0,0.0
2016-08-06 23,1667.0,43.0
2016-08-07 00,1826.0,61.0
2016-08-07 01,1916.0,68.0
2016-08-07 02,2110.0,77.0
2016-08-07 03,2331.0,80.0
2016-08-07 04,2417.0,85.0
2016-08-07 05,2486.0,90.0
2016-08-07 06,2562.0,91.0
2016-08-07 07,2617.0,92.0
2016-08-07 08,2685.0,94.0
2016-08-07 09,2725.0,96.0
2016-08-07 10,2756.0,98.0
2016-08-07 11,2820.0,100.0
2016-08-07 12,2929.0,102.0
2016-08-07 13,3155.0,106.0
2016-08-07 14,3481.0,117.0
2016-08-07 15,3732.0,127.0
2016-08-07 16,3894.0,136.0
2016-08-07 17,4038.0,144.0
2016-08-07 18,4129.0,148.0
2016-08-07 19,4215.0,153.0
2016-08-07 20,4322.0,185.0
2016-08-07 21,4374.0,203.0
2016-08-07 22,4420.0,216.0
2016-08-07 23,4478.0,225.0
2016-08-08 00,4505.0,235.0
2016-08-08 01,4597.0,240.0
2016-08-08 02,4639.0,267.0
2016-08-08 03,4683.0,283.0
2016-08-08 04,4728.0,287.0
2016-08-08 05,4783.0,290.0
2016-08-08 06,4802.0,294.0
2016-08-08 07,4821.0,296.0
2016-08-08 08,4844.0,299.0
2016-08-08 09,4866.0,300.0
2016-08-08 10,4877.0,300.0
2016-08-08 11,4895.0,303.0
2016-08-08 12,4915.0,315.0
2016-08-08 13,4945.0,320.0
2016-08-08 14,4973.0,328.0
2016-08-08 15,4982.0,331.0
2016-08-08 16,5001.0,333.0
2016-08-08 17,5041.0,334.0
2016-08-08 18,5080.0,336.0
2016-08-08 19,5092.0,337.0
2016-08-08 20,5182.0,339.0
2016-08-08 21,5205.0,341.0
2016-08-08 22,5221.0,346.0
2016-08-08 23,5236.0,348.0
2016-08-09 00,5265.0,352.0
2016-08-09 01,5275.0,355.0
2016-08-09 02,5299.0,358.0
2016-08-09 03,5323.0,368.0
2016-08-09 04,5378.0,374.0
2016-08-09 05,5388.0,375.0
2016-08-09 06,5391.0,376.0
2016-08-09 07,5393.0,376.0
2016-08-09 08,5398.0,376.0
2016-08-09 09,5405.0,376.0
2016-08-09 10,5415.0,378.0
2016-08-09 11,5423.0,379.0
2016-08-09 12,5441.0,383.0
2016-08-09 13,5467.0,384.0
2016-08-09 14,5476.0,384.0
2016-08-09 15,5485.0,385.0
2016-08-09 16,5490.0,388.0
2016-08-09 17,5492.0,391.0
2016-08-09 18,5506.0,393.0
2016-08-09 19,5517.0,396.0
2016-08-09 20,5519.0,399.0
2016-08-09 21,5525.0,399.0
2016-08-09 22,5545.0,402.0
2016-08-09 23,5555.0,404.0
2016-08-10 00,5560.0,407.0
2016-08-10 01,5560.0,409.0
2016-08-10 02,5562.0,410.0
2016-08-10 03,5568.0,414.0
2016-08-10 04,5571.0,416.0
2016-08-10 05,5576.0,417.0
2016-08-10 06,5579.0,417.0
2016-08-10 07,5581.0,417.0
2016-08-10 08,5583.0,417.0
2016-08-10 09,5585.0,417.0
2016-08-10 10,5614.0,417.0
2016-08-10 11,5627.0,418.0
2016-08-10 12,5630.0,421.0
2016-08-10 13,5631.0,434.0
2016-08-10 14,5654.0,435.0
2016-08-10 15,5668.0,437.0
2016-08-10 16,5676.0,437.0
2016-08-10 17,5689.0,437.0
2016-08-10 18,5701.0,438.0
2016-08-10 19,5714.0,439.0
2016-08-10 20,5726.0,442.0
2016-08-10 21,5738.0,444.0
2016-08-10 22,5748.0,447.0
2016-08-10 23,5760.0,448.0
2016-08-11 00,5772.0,450.0
2016-08-11 01,5778.0,451.0
2016-08-11 02,5790.0,452.0
2016-08-11 03,5797.0,452.0
2016-08-11 04,5804.0,452.0
2016-08-11 05,5812.0,453.0
2016-08-11 06,5817.0,455.0
2016-08-11 07,5818.0,455.0
2016-08-11 08,5818.0,455.0
2016-08-11 09,5818.0,455.0
2016-08-11 10,5824.0,456.0
2016-08-11 11,5827.0,456.0
2016-08-11 12,5829.0,456.0
2016-08-11 13,5832.0,458.0
2016-08-11 14,5867.0,458.0
2016-08-11 15,5896.0,458.0
2016-08-11 16,5904.0,461.0
2016-08-11 17,5907.0,462.0
2016-08-11 18,5913.0,462.0
2016-08-11 19,5914.0,463.0
2016-08-11 20,5925.0,463.0
2016-08-11 21,5932.0,466.0
2016-08-11 22,5938.0,467.0
2016-08-11 23,5944.0,467.0
2016-08-12 00,5946.0,468.0
2016-08-12 01,5949.0,468.0
2016-08-12 02,5949.0,469.0
2016-08-12 03,5949.0,472.0
2016-08-12 04,5951.0,472.0
2016-08-12 05,5951.0,472.0
2016-08-12 06,5951.0,472.0
2016-08-12 07,5951.0,473.0
2016-08-12 08,5951.0,474.0
2016-08-12 09,5951.0,474.0
2016-08-12 10,5952.0,474.0
2016-08-12 11,5952.0,474.0
2016-08-12 12,5954.0,474.0
2016-08-12 13,5957.0,476.0
2016-08-12 14,5959.0,476.0
2016-08-12 15,5961.0,480.0
2016-08-12 16,5962.0,482.0
2016-08-12 17,5964.0,482.0
2016-08-12 18,5964.0,483.0
2016-08-12 19,5969.0,484.0
2016-08-12 20,5986.0,484.0
2016-08-12 21,5999.0,484.0
2016-08-12 22,6001.0,484.0
2016-08-12 23,6001.0,484.0
2016-08-13 00,6024.0,487.0
2016-08-13 01,6031.0,488.0
2016-08-13 02,6036.0,488.0
2016-08-13 03,6036.0,489.0
2016-08-13 04,6036.0,491.0
2016-08-13 05,6036.0,491.0
2016-08-13 06,6036.0,491.0
2016-08-13 07,6036.0,491.0
2016-08-13 08,6038.0,491.0
2016-08-13 09,6038.0,491.0
2016-08-13 10,6038.0,492.0
2016-08-13 11,6038.0,492.0
2016-08-13 12,6038.0,492.0
2016-08-13 13,6038.0,493.0
2016-08-13 14,6038.0,493.0
2016-08-13 15,6041.0,493.0
2016-08-13 16,6044.0,495.0
2016-08-13 17,6047.0,498.0
2016-08-13 18,6048.0,498.0
2016-08-13 19,6050.0,498.0
2016-08-13 20,6051.0,499.0
2016-08-13 21,6051.0,499.0
2016-08-13 22,6051.0,500.0
2016-08-13 23,6051.0,500.0
2016-08-14 00,6052.0,500.0
2016-08-14 01,6053.0,500.0
2016-08-14 02,6054.0,500.0
2016-08-14 03,6054.0,503.0
2016-08-14 04,6054.0,503.0
2016-08-14 05,6055.0,503.0
2016-08-14 06,6055.0,503.0
2016-08-14 07,6055.0,503.0
2016-08-14 08,6055.0,504.0
2016-08-14 09,6055.0,504.0
2016-08-14 10,6056.0,504.0
2016-08-14 11,6056.0,509.0
2016-08-14 12,6059.0,509.0
2016-08-14 13,6061.0,511.0
2016-08-14 14,6062.0,511.0
2016-08-14 15,6062.0,511.0
2016-08-14 16,6062.0,513.0
2016-08-14 17,6067.0,513.0
2016-08-14 18,6068.0,514.0
2016-08-14 19,6069.0,515.0
2016-08-14 20,6073.0,515.0
2016-08-14 21,6109.0,515.0
2016-08-14 22,6116.0,515.0
2016-08-14 23,6118.0,516.0
2016-08-15 00,6121.0,518.0
2016-08-15 01,6121.0,518.0
2016-08-15 02,6121.0,518.0
2016-08-15 03,6121.0,519.0
2016-08-15 04,6121.0,519.0
2016-08-15 05,6124.0,519.0
2016-08-15 06,6125.0,519.0
2016-08-15 07,6125.0,519.0
2016-08-15 08,6125.0,519.0
2016-08-15 09,6125.0,519.0
2016-08-15 10,6138.0,519.0
2016-08-15 11,6138.0,519.0
2016-08-15 12,6138.0,519.0
2016-08-15 13,6138.0,519.0
2016-08-15 14,6142.0,520.0
2016-08-15 15,6145.0,520.0
2016-08-15 16,6146.0,520.0
2016-08-15 17,6146.0,520.0
2016-08-15 18,6149.0,520.0
2016-08-15 19,6149.0,520.0
2016-08-15 20,6151.0,520.0
2016-08-15 21,6151.0,520.0
2016-08-15 22,6151.0,520.0
2016-08-15 23,6152.0,520.0
2016-08-16 00,6152.0,520.0
2016-08-16 01,6152.0,521.0
2016-08-16 02,6156.0,522.0
2016-08-16 03,6158.0,522.0
2016-08-16 04,6161.0,522.0
2016-08-16 05,6165.0,522.0
2016-08-16 06,6165.0,522.0
2016-08-16 07,6165.0,522.0
2016-08-16 08,6165.0,522.0
2016-08-16 09,6165.0,522.0
2016-08-16 10,6165.0,522.0
2016-08-16 11,6167.0,522.0
2016-08-16 12,6168.0,523.0
2016-08-16 13,6168.0,523.0
2016-08-16 14,6169.0,523.0
2016-08-16 15,6169.0,523.0
2016-08-16 16,6170.0,523.0
2016-08-16 17,6170.0,523.0
2016-08-16 18,6171.0,523.0
2016-08-16 19,6171.0,523.0
2016-08-16 20,6191.0,526.0
2016-08-16 21,6192.0,526.0
2016-08-16 22,6195.0,528.0
2016-08-16 23,6195.0,529.0
2016-08-17 00,6196.0,529.0
2016-08-17 01,6201.0,530.0
2016-08-17 02,6201.0,530.0
2016-08-17 03,6201.0,531.0
2016-08-17 04,6201.0,532.0
2016-08-17 05,6201.0,532.0
2016-08-17 06,6201.0,532.0
2016-08-17 07,6201.0,532.0
2016-08-17 08,6201.0,532.0
2016-08-17 09,6204.0,532.0
2016-08-17 10,6204.0,532.0
2016-08-17 11,6204.0,532.0
2016-08-17 12,6204.0,532.0
2016-08-17 13,6206.0,534.0
2016-08-17 14,6206.0,535.0
2016-08-17 15,6206.0,535.0
2016-08-17 16,6207.0,536.0
2016-08-17 17,6210.0,537.0
2016-08-17 18,6213.0,538.0
2016-08-17 19,6213.0,538.0
2016-08-17 20,6214.0,538.0
2016-08-17 21,6216.0,538.0
2016-08-17 22,6218.0,538.0
2016-08-17 23,6220.0,538.0
2016-08-18 00,6220.0,538.0
2016-08-18 01,6220.0,538.0
2016-08-18 02,6220.0,539.0
2016-08-18 03,6232.0,540.0
2016-08-18 04,6235.0,540.0
2016-08-18 05,6235.0,540.0
2016-08-18 06,6235.0,540.0
2016-08-18 07,6235.0,540.0
2016-08-18 08,6235.0,540.0
2016-08-18 09,6235.0,540.0
2016-08-18 10,6235.0,540.0
2016-08-18 11,6235.0,540.0
2016-08-18 12,6236.0,540.0
2016-08-18 13,6237.0,540.0
2016-08-18 14,6237.0,541.0
2016-08-18 15,6237.0,541.0
2016-08-18 16,6237.0,541.0
2016-08-18 17,6237.0,542.0
2016-08-18 18,6237.0,542.0
2016-08-18 19,6237.0,542.0
2016-08-18 20,6237.0,542.0
2016-08-18 21,6237.0,542.0
2016-08-18 22,6237.0,542.0
2016-08-18 23,6238.0,542.0
2016-08-19 00,6238.0,542.0
2016-08-19 01,6240.0,542.0
2016-08-19 02,6240.0,542.0
2016-08-19 03,6241.0,542.0
2016-08-19 04,6241.0,542.0
2016-08-19 05,6241.0,542.0
2016-08-19 06,6241.0,542.0
2016-08-19 07,6241.0,542.0
2016-08-19 08,6241.0,542.0
2016-08-19 09,6241.0,542.0
2016-08-19 10,6241.0,542.0
2016-08-19 11,6241.0,542.0
2016-08-19 12,6241.0,542.0
2016-08-19 13,6242.0,542.0
2016-08-19 14,6242.0,542.0
2016-08-19 15,6242.0,542.0
2016-08-19 16,6242.0,542.0
2016-08-19 17,6242.0,542.0
2016-08-19 18,6242.0,542.0
2016-08-19 19,6242.0,542.0
2016-08-19 20,6242.0,542.0
2016-08-19 21,6242.0,542.0
2016-08-19 22,6242.0,542.0
2016-08-19 23,6242.0,542.0
2016-08-20 00,6243.0,542.0
2016-08-20 01,6244.0,542.0
2016-08-20 02,6244.0,542.0
2016-08-20 03,6245.0,542.0
2016-08-20 04,6246.0,542.0
2016-08-20 05,6246.0,542.0
2016-08-20 06,6247.0,542.0
2016-08-20 07,6249.0,542.0
2016-08-20 08,6254.0,542.0
2016-08-20 09,6254.0,542.0
2016-08-20 10,6254.0,542.0
2016-08-20 11,6254.0,542.0
2016-08-20 12,6254.0,542.0
2016-08-20 13,6254.0,542.0
2016-08-20 14,6254.0,542.0
2016-08-20 15,6254.0,542.0
2016-08-20 16,6254.0,542.0
2016-08-20 17,6255.0,542.0
2016-08-20 18,6256.0,542.0
2016-08-20 19,6256.0,542.0
2016-08-20 20,6256.0,542.0
2016-08-20 21,6256.0,542.0
2016-08-20 22,6258.0,542.0
2016-08-20 23,6259.0,542.0
2016-08-21 00,6259.0,542.0
2016-08-21 01,6260.0,542.0
2016-08-21 02,6260.0,542.0
2016-08-21 03,6261.0,542.0
2016-08-21 04,6262.0,542.0
2016-08-21 05,6262.0,543.0
2016-08-21 06,6262.0,543.0
2016-08-21 07,6263.0,543.0
2016-08-21 08,6263.0,543.0
2016-08-21 09,6263.0,543.0
2016-08-21 10,6263.0,543.0
2016-08-21 11,6263.0,543.0
2016-08-21 12,6264.0,543.0
2016-08-21 13,6265.0,543.0
2016-08-21 14,6267.0,543.0
2016-08-21 15,6268.0,543.0
2016-08-21 16,6268.0,543.0
2016-08-21 17,6268.0,543.0
2016-08-21 18,6268.0,543.0
2016-08-21 19,6274.0,543.0
2016-08-21 20,6274.0,543.0
2016-08-21 21,6275.0,543.0
2016-08-21 22,6276.0,543.0
2016-08-21 23,6276.0,543.0
2016-08-22 00,6276.0,543.0
2016-08-22 01,6276.0,543.0
2016-08-22 02,6276.0,543.0
2016-08-22 03,6277.0,543.0
2016-08-22 04,6277.0,543.0
2016-08-22 05,6277.0,543.0
2016-08-22 06,6277.0,543.0
2016-08-22 07,6277.0,543.0
2016-08-22 08,6277.0,543.0
2016-08-22 09,6277.0,543.0
2016-08-22 10,6277.0,543.0
2016-08-22 11,6277.0,543.0
2016-08-22 12,6277.0,543.0
2016-08-22 13,6277.0,543.0
2016-08-22 14,6277.0,543.0
2016-08-22 15,6277.0,543.0
2016-08-22 16,6277.0,543.0
2016-08-22 17,6278.0,543.0
2016-08-22 18,6278.0,543.0
2016-08-22 19,6279.0,543.0
2016-08-22 20,6279.0,543.0
2016-08-22 21,6279.0,543.0
2016-08-22 22,6279.0,543.0
2016-08-22 23,6280.0,543.0
2016-08-23 00,6283.0,543.0
2016-08-23 01,6283.0,543.0
2016-08-23 02,6284.0,544.0
2016-08-23 03,6285.0,544.0
2016-08-23 04,6286.0,544.0
2016-08-23 05,6286.0,544.0
2016-08-23 06,6286.0,544.0
2016-08-23 07,6288.0,544.0
2016-08-23 08,6289.0,544.0
2016-08-23 09,6289.0,544.0
2016-08-23 10,6289.0,544.0
2016-08-23 11,6289.0,544.0
2016-08-23 12,6290.0,544.0
2016-08-23 13,6290.0,544.0
2016-08-23 14,6290.0,544.0
2016-08-23 15,6290.0,544.0
2016-08-23 16,6290.0,544.0
2016-08-23 17,6291.0,544.0
2016-08-23 18,6291.0,544.0
2016-08-23 19,6291.0,544.0
2016-08-23 20,6291.0,544.0
2016-08-23 21,6291.0,544.0
2016-08-23 22,6291.0,544.0
2016-08-23 23,6291.0,544.0
2016-08-24 00,6291.0,544.0
2016-08-24 01,6291.0,544.0
2016-08-24 02,6291.0,544.0
2016-08-24 03,6291.0,544.0
2016-08-24 04,6291.0,544.0
2016-08-24 05,6291.0,544.0
2016-08-24 06,6291.0,544.0
2016-08-24 07,6291.0,544.0
2016-08-24 08,6291.0,544.0
2016-08-24 09,6291.0,544.0
2016-08-24 10,6291.0,544.0
2016-08-24 11,6293.0,544.0
2016-08-24 12,6293.0,544.0
2016-08-24 13,6293.0,544.0
2016-08-24 14,6293.0,544.0
2016-08-24 15,6293.0,544.0
2016-08-24 16,6293.0,544.0
2016-08-24 17,6293.0,544.0
2016-08-24 18,6293.0,544.0
2016-08-24 19,6293.0,544.0
2016-08-24 20,6293.0,544.0
2016-08-24 21,6293.0,544.0
2016-08-24 22,6293.0,544.0
2016-08-24 23,6293.0,544.0
2016-08-25 00,6294.0,544.0
2016-08-25 01,6294.0,544.0
2016-08-25 02,6294.0,545.0
2016-08-25 03,6294.0,546.0
2016-08-25 04,6294.0,546.0
2016-08-25 05,6296.0,546.0
2016-08-25 06,6297.0,546.0
2016-08-25 07,6297.0,546.0
2016-08-25 08,6297.0,546.0
